,constrained_branching,dom_opt,f_clique_lb,f_clique_lb_c,f_deg2,f_deg2_heur,f_deg3,f_dom,f_lp,f_lp_lb,f_lp_lb_c,lb_opt,lb_opt_c,limit_kern_branch,limit_kern_start,par10
202002071646_run_history,1,1,1,5,40000,80000,5,40000,1,10,1,1,1,1,500,24496.950000000004
202002071736_run_history,1,1,40000,1,3,1,5,1,5,1,1,1,1,1,500,6688.860000000001
202002071758_run_history,1,1,40000,1,50,1,40000,500,40000,10,1,1,1,5,3,24526.94
202002071847_run_history,0,1,1,5,500,80000,40000,50,40000,1,5,1,1,500,500,27649.91
202002071944_run_history,1,1,40000,1,50,1,5,1,5,40000,1,1,1,1,3,12512.759999999998
202002072013_run_history,0,1,40000,1,1,1,40000,40000,5,1,1,1,1,500,500,24507.390000000003
202002072102_run_history,1,1,10,1,40000,1,1,3,5,10,1,1,1,1,3,18643.730000000003
202002072144_run_history,0,1,1,1,1,1,1,40000,1,40000,1,1,1,1,3,18816.23
202002072228_run_history,0,1,40000,5,40000,1,1,3,1,40000,5,1,1,500,500,30288.050000000003
202002072324_run_history,1,1,40000,5,500,80000,1,1,1,10,1,1,1,1,3,15467.820000000003
202002072357_run_history,0,1,40000,1,500,80000,40000,500,1,10,1,1,1,5,500,39216.14000000001
202002080107_run_history,1,1,40000,1,40000,80000,1,1,40000,10,1,1,1,500,500,15349.759999999998
202002080139_run_history,0,1,1,5,3,80000,5,500,40000,40000,1,1,1,500,3,18700.36
202002080221_run_history,1,1,1,1,500,80000,40000,3,5,40000,5,1,1,1,3,36130.36
202002080324_run_history,1,1,40000,5,40000,80000,40000,500,1,10,5,1,1,500,3,42173.36
202002080438_run_history,0,1,40000,1,40000,1,40000,50,5,40000,5,1,1,1,500,36247.87999999999
202002080627_run_history,1,1,40000,1,3,80000,5,500,5,40000,1,1,1,5,500,18684.15
202002080709_run_history,0,1,40000,1,50,1,1,40000,5,40000,1,1,1,1,500,33250.13
202002080810_run_history,1,1,10,5,500,80000,5,3,40000,40000,5,1,1,1,3,36081.1
202002080912_run_history,1,1,10,1,3,80000,5,1,1,1,5,1,1,5,500,9867.02
202002080942_run_history,0,1,40000,5,3,1,5,50,5,10,1,1,1,1,500,30247.64
202002081037_run_history,0,1,10,5,50,80000,40000,50,5,1,5,1,1,1,3,33301.37000000001
202002081138_run_history,1,1,40000,1,40000,80000,1,1,40000,40000,5,1,1,1,3,39060.12
202002081245_run_history,1,1,10,1,500,1,5,1,1,40000,1,1,1,500,3,12778.88
202002081319_run_history,0,1,1,1,500,1,5,3,40000,10,5,1,1,500,500,21478.770000000004
202002081402_run_history,0,1,10,1,3,1,1,50,40000,1,1,1,1,1,500,27674.48
202002081459_run_history,0,1,10,1,3,80000,40000,1,1,10,1,1,1,5,500,21349.379999999997
202002081541_run_history,1,1,1,1,40000,80000,40000,1,40000,1,5,1,1,500,3,39092.19
202002081649_run_history,0,1,10,5,40000,80000,1,1,1,40000,1,1,1,1,500,24357.23
202002081735_run_history,0,1,10,1,3,1,40000,3,5,1,5,1,1,5,3,24377.43
202002081822_run_history,0,1,10,5,40000,80000,5,40000,1,1,5,1,1,5,3,39240.020000000004
202002081932_run_history,0,1,1,1,3,80000,40000,40000,1,1,1,1,1,500,3,21469.22
202002082016_run_history,1,1,40000,5,40000,80000,1,40000,5,40000,5,1,1,1,500,42098.759999999995
202002082128_run_history,1,1,1,5,1,1,40000,500,5,40000,5,1,1,1,500,24316.820000000003
202002082215_run_history,1,1,10,1,1,80000,1,5,5,1,5,1,1,1,500,15559.02
202002082250_run_history,1,1,40000,5,1,80000,5,1,1,1,1,1,1,1,500,3750.629999999999
202002082308_run_history,1,1,40000,5,3,1,5,1,5,40000,1,1,1,1,500,6367.57
202002082325_run_history,1,1,40000,5,1,80000,5,3,5,1,5,1,1,1,500,3850.8500000000004
202002082344_run_history,1,1,10,5,3,80000,5,1,1,1,5,1,1,1,500,9621.9
202002090010_run_history,1,1,10,5,3,80000,5,5,1,1,1,1,1,1,500,15545.99
202002090936_run_history,1,1,1,1,3,80000,3,5,5,10,5,1,1,1,500,21456.59
202002091020_run_history,1,1,1,5,3,1,1,1,5,1,5,1,1,1,500,6629.91
202002091221_run_history,1,1,10,10,2,1,5,5,1,40000,1,1,0,1,3,15632.710000000003
202002091257_run_history,1,1,40000,5,1,80000,5,3,1,1,5,1,1,1,500,12800.630000000001
202002091331_run_history,1,1,1,3,2,80000,1,1,2,10,5,1,1,1,3,6823.91
202002091356_run_history,1,1,40000,3,2,1,10,3,2,10,3,1,0,2,500,9936.81
202002091427_run_history,1,1,1,5,2,1,10,3,1,1,3,1,1,1,3,13039.11
202002091505_run_history,1,1,10,1,1,1,1,1,1,1,1,1,1,2,500,6680.71
202002091527_run_history,1,1,10,5,2,80000,5,1,5,10,3,1,1,2,500,6569.8099999999995
202002091547_run_history,1,1,1,5,2,80000,3,2,5,1,1,1,0,2,500,6634.679999999999
202002091643_run_history,1,1,1,5,2,1,3,1,3,40000,5,1,1,2,500,3845.14
202002091702_run_history,1,1,1,5,2,80000,3,1,1,40000,5,1,1,1,500,9919.470000000001
