"Problem Instance","Seed","Run result line of validation config #1"
"vc-test/test-instances/000800_000000008000.input.dimacs","-1","SAT, 2.61, 0.0, 0.0, -1"
"vc-test/test-instances/000900_000000002700.input.dimacs","-1","SAT, 1.66, 0.0, 0.0, -1"
"vc-test/test-instances/001000_000000010000.input.dimacs","-1","SAT, 3.99, 0.0, 0.0, -1"
"vc-test/test-instances/add20.graph.dimacs","-1","SAT, 0.32, 0.0, 0.0, -1"
"vc-test/test-instances/as-22july06.graph.dimacs","-1","SAT, 3.97, 0.0, 0.0, -1"
"vc-test/test-instances/as20000102.txt.dimacs","-1","SAT, 0.48, 0.0, 0.0, -1"
"vc-test/test-instances/astro-ph.graph.dimacs","-1","SAT, 63.38, 0.0, 0.0, -1"
"vc-test/test-instances/ca-GrQc.txt.dimacs","-1","SAT, 4.41, 0.0, 0.0, -1"
"vc-test/test-instances/ca-HepPh.txt.dimacs","-1","SAT, 86.11, 0.0, 0.0, -1"
"vc-test/test-instances/chesapeake.graph.dimacs","-1","SAT, 0.22, 0.0, 0.0, -1"
"vc-test/test-instances/cond-mat.graph.dimacs","-1","SAT, 3.55, 0.0, 0.0, -1"
"vc-test/test-instances/dolphins.graph.dimacs","-1","SAT, 0.19, 0.0, 0.0, -1"
"vc-test/test-instances/email-Enron.txt.dimacs","-1","SAT, 8.26, 0.0, 0.0, -1"
"vc-test/test-instances/email.graph.dimacs","-1","SAT, 0.9, 0.0, 0.0, -1"
"vc-test/test-instances/fe_tooth.graph.dimacs","-1","TIMEOUT, 0.0, 0.0, 0.0, -1"
"vc-test/test-instances/jazz.graph.dimacs","-1","SAT, 0.38, 0.0, 0.0, -1"
"vc-test/test-instances/loc-gowalla_edges.txt.dimacs","-1","TIMEOUT, 0.0, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella05.txt.dimacs","-1","SAT, 0.98, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella09.txt.dimacs","-1","SAT, 0.62, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella25.txt.dimacs","-1","SAT, 2.15, 0.0, 0.0, -1"
"vc-test/test-instances/polblogs.graph.dimacs","-1","SAT, 0.35, 0.0, 0.0, -1"
"vc-test/test-instances/soc-Slashdot0811.txt.dimacs","-1","SAT, 54.01, 0.0, 0.0, -1"
"vc-test/test-instances/soc-sign-Slashdot081106.txt.dimacs","-1","SAT, 71.44, 0.0, 0.0, -1"
"vc-test/test-instances/soc-sign-Slashdot090216.txt.dimacs","-1","SAT, 99.2, 0.0, 0.0, -1"
"vc-test/test-instances/soc-sign-epinions.txt.dimacs","-1","SAT, 177.67, 0.0, 0.0, -1"
